state,site,year,date,species,female_count,male_count,longitude,latitude,aphid_count,year_day,cdd
Iowa,Sutherland,2005,2005-07-08,Rhopalosiphum padi,5,0,-95.54,42.93,5,189,1926.5230000000001
Iowa,Nashua,2005,2005-07-08,Rhopalosiphum padi,NA,NA,-92.57,42.93,0,189,1932.2740000000001
Iowa,Ames,2005,2005-07-08,Rhopalosiphum padi,0,0,-93.78,42.02,0,189,2056.126
Iowa,McNay,2005,2005-07-08,Rhopalosiphum padi,0,0,-93.42,40.97,0,189,2074.761
Iowa,Sutherland,2005,2005-07-15,Rhopalosiphum padi,0,0,-95.54,42.93,0,196,2176.032
Iowa,Nashua,2005,2005-07-15,Rhopalosiphum padi,7,0,-92.57,42.93,7,196,2174.4030000000002
Iowa,Ames,2005,2005-07-15,Rhopalosiphum padi,0,0,-93.78,42.02,0,196,2300.496
Iowa,McNay,2005,2005-07-15,Rhopalosiphum padi,5,0,-93.42,40.97,5,196,2319.0860000000002
Iowa,Sutherland,2005,2005-07-22,Rhopalosiphum padi,6,0,-95.54,42.93,6,203,2423.732
Iowa,Nashua,2005,2005-07-22,Rhopalosiphum padi,9,0,-92.57,42.93,9,203,2421.464
Iowa,Ames,2005,2005-07-22,Rhopalosiphum padi,1,0,-93.78,42.02,1,203,2552.516
Iowa,McNay,2005,2005-07-22,Rhopalosiphum padi,0,0,-93.42,40.97,0,203,2578.486
Iowa,Sutherland,2005,2005-07-29,Rhopalosiphum padi,24,0,-95.54,42.93,24,210,2637.817
Iowa,Nashua,2005,2005-07-29,Rhopalosiphum padi,72,0,-92.57,42.93,72,210,2629.699
Iowa,Ames,2005,2005-07-29,Rhopalosiphum padi,0,0,-93.78,42.02,0,210,2772.802
Iowa,McNay,2005,2005-07-29,Rhopalosiphum padi,0,0,-93.42,40.97,0,210,2810.967
Iowa,Sutherland,2005,2005-08-05,Rhopalosiphum padi,44,0,-95.54,42.93,44,217,2861.856
Iowa,Nashua,2005,2005-08-05,Rhopalosiphum padi,17,0,-92.57,42.93,17,217,2857.734
Iowa,Ames,2005,2005-08-05,Rhopalosiphum padi,3,0,-93.78,42.02,3,217,3001.152
Iowa,McNay,2005,2005-08-05,Rhopalosiphum padi,8,0,-93.42,40.97,8,217,3052.367
Iowa,Sutherland,2005,2005-08-12,Rhopalosiphum padi,67,0,-95.54,42.93,67,224,3085.076
Iowa,Nashua,2005,2005-08-12,Rhopalosiphum padi,0,0,-92.57,42.93,0,224,3067.5530000000003
Iowa,Ames,2005,2005-08-12,Rhopalosiphum padi,46,0,-93.78,42.02,46,224,3218.864
Iowa,McNay,2005,2005-08-12,Rhopalosiphum padi,25,0,-93.42,40.97,25,224,3287.143
